Date,Mouse,SegPixels,LesionVolume_mm3
Jun_06_2024,M1,15583,47.56
Jun_06_2024,M2,6606,20.16
Jun_06_2024,M3,19515,59.56
Jun_06_2024,M4,9996,30.51
Jun_06_2024,M5,0,0
Jun_07_2024,M1,10559,32.22
Jun_07_2024,M2,8140,24.84
Jun_07_2024,M3,14413,43.99
Jun_07_2024,M4,6394,19.51
Jun_07_2024,M5,0,0
Jun_14_2024,M3,16864,51.47
Jun_21_2024,M1,9083,27.72
Jun_21_2024,M2,12876,39.29
Jun_21_2024,M3,6517,19.89
Jun_21_2024,M4,5450,16.63
Jun_21_2024,M5,16261,49.63
May_02_2024,M1,60552,184.79
May_02_2024,M2,12027,36.7
May_02_2024,M3,47051,143.59
May_03_2024,M3,14979,45.71
May_09_2024,M3,35689,108.92
May_09_2024,M5,52444,160.05
May_10_2024,M2,30995,94.59
May_16_2024,M2,53239,162.47
May_16_2024,M5,1984,6.05
May_17_2024,M1,12916,39.42
May_17_2024,M3,650,1.98
May_17_2024,M6,41131,125.52
May_23_2024,M1,42961,131.11
May_23_2024,M2,21805,66.54
May_24_2024,M1,21791,66.5
May_24_2024,M2,9067,27.67
May_24_2024,M3,10127,30.91
May_24_2024,M5,14586,44.51
May_30_2024,M1,12786,39.02
May_30_2024,M3,1336,4.08
